Platform,Linux/UNIX($),Windows (Amazon VPC)($),Windows with SQL Server Enterprise($),Windows with SQL Server Standard($),Red Hat Enterprise Linux($),Red Hat Enterprise Linux with HA($),SUSE Linux($),Total cost ($)
Platform Total,123028.0778,49550.39702,6091.2,2090.016,1110.299688,107.7905701,0.108,181977.889
2021/6/1,752.0657359,339.2544572,45.12,,4.973590727,,,1141.413784
2021/6/2,776.5576604,342.8964572,45.12,,6.9304,,,1171.504518
2021/6/3,741.2873273,336.5337906,45.12,,4.101374945,,,1127.042493
2021/6/4,742.8196157,336.6125906,45.12,,4.092878586,,,1128.645085
2021/6/5,701.9501168,332.9299239,45.12,,3.5952,,,1083.595241
2021/6/6,710.422937,332.9299239,45.12,,3.5952,,,1092.068061
2021/6/7,751.8246959,336.9900515,45.12,,4.290600199,,,1138.225348
2021/6/8,755.063777,337.8797906,45.12,,4.098483614,,,1142.162051
2021/6/9,764.2352001,338.6248572,45.12,,4.123690493,,,1152.103748
2021/6/10,797.7947827,338.3021906,45.12,,4.098028658,,,1185.315002
2021/6/11,801.5311885,336.7519104,45.12,,3.954768435,,,1187.357867
2021/6/12,773.6291642,331.9891239,45.12,,3.5952,0.162177646,,1154.495666
2021/6/13,774.212918,331.9891239,45.12,,3.5952,0.228956676,,1155.146199
2021/6/14,805.1612568,335.6263269,45.12,,3.5952,0.200337092,,1189.703121
2021/6/15,804.839155,335.8418606,45.12,,3.5952,0.228956676,,1189.625172
2021/6/16,833.3676877,341.3899026,45.12,,6.0208,0.228956676,,1226.127347
2021/6/17,811.6411415,337.3996307,45.12,,4.2016,0.228956676,,1198.591329
2021/6/18,802.6556229,336.2521472,45.12,,3.5952,0.228956676,,1187.851927
2021/6/19,759.6745643,331.6595239,45.12,,3.5952,0.219416815,,1140.268705
2021/6/20,756.5648107,331.6595239,45.12,,3.5952,0.897939466,,1137.837474
2021/6/21,796.6806586,336.9820447,45.12,,3.5952,1.173402967,,1183.551306
2021/6/22,793.5251734,336.2562235,45.12,,4.938,1.163537883,,1181.002935
2021/6/23,793.5285124,336.2190574,45.12,,5.311,1.862657963,,1182.041228
2021/6/24,795.655704,336.2347775,45.12,,5.3856,2.315259348,,1184.711341
2021/6/25,799.0039418,336.0242358,45.12,,5.3856,2.295745995,,1187.829524
2021/6/26,759.1312539,336.2378492,45.12,,5.3856,2.315259348,,1148.189962
2021/6/27,758.4942666,339.4163239,45.12,,5.3856,2.354611277,,1150.770802
2021/6/28,810.9190275,347.5969906,45.12,,7.2048,2.354611277,,1213.195429
2021/6/29,792.1255715,346.9568669,45.12,,7.17785109,2.354611277,,1193.734901
2021/6/30,786.9647883,342.9657256,45.12,,5.3856,2.354611277,,1182.790725
2021/7/1,789.7798873,343.5938921,45.12,,5.3856,2.256502474,,1186.135882
2021/7/2,797.3326391,344.083958,45.12,,5.3856,2.371414442,,1194.293612
2021/7/3,765.9151368,339.5119035,45.12,,5.3856,2.563404154,,1158.496044
2021/7/4,767.7583511,339.302748,45.12,,5.3856,2.6304,,1160.197099
2021/7/5,801.9326027,344.1133375,45.12,,5.3856,2.6304,,1199.18194
2021/7/6,803.7718531,344.6866887,45.12,,5.3856,2.574895351,,1201.539037
2021/7/7,801.7343822,344.7728237,45.12,,5.3856,2.519390702,,1199.532197
2021/7/8,797.7860051,344.3564348,45.12,,5.3856,2.6304,,1195.27844
2021/7/9,807.6407225,352.6369938,45.12,,9.3272,2.6304,,1217.355316
2021/7/10,767.1712874,344.6526502,45.12,,5.3856,2.6304,,1164.959938
2021/7/11,768.7453062,349.891672,45.12,,5.3856,2.6304,,1171.772978
2021/7/12,811.5823531,361.3298053,45.12,,8.7208,2.6304,,1229.383358
2021/7/13,818.5088507,361.8531477,45.12,,8.922553526,2.6304,,1237.034952
2021/7/14,834.0021361,361.6445161,45.12,,8.984389699,2.6304,,1252.381442
2021/7/15,834.396269,361.6759532,45.12,,8.841948858,2.6304,,1252.664571
2021/7/16,831.594597,362.2006723,45.12,,8.7208,2.6304,,1250.266469
2021/7/17,779.4689239,351.1962488,45.12,,5.3856,2.6304,,1183.801173
2021/7/18,812.1955445,351.1962488,45.12,,5.3856,2.6304,,1216.527793
2021/7/19,871.5167887,362.4140145,45.12,,8.830450998,2.6304,,1290.511654
2021/7/20,881.2735078,362.6758163,45.12,,8.7208,2.6304,,1300.420524
2021/7/21,863.3552105,355.3010229,45.12,,5.3856,2.6304,,1271.792233
2021/7/22,862.758695,354.6125682,45.12,,5.3856,2.6304,,1270.507263
2021/7/23,865.6056646,355.7672967,45.12,,5.3856,2.6304,,1274.508961
2021/7/24,831.188714,351.1962488,45.12,,5.3856,2.6304,,1235.520963
2021/7/25,830.033345,351.1962488,45.12,,5.3856,2.6304,,1234.365594
2021/7/26,867.1211593,355.7085554,45.12,,5.3856,2.6304,,1275.965715
2021/7/27,860.8996815,355.2881598,45.12,,5.3856,2.6304,,1269.323841
2021/7/28,868.3667711,355.5499343,45.12,,3.9682,2.6304,,1275.635305
2021/7/29,868.366602,355.479257,45.12,,3.5952,2.6304,,1275.191459
2021/7/30,868.6289534,355.2820762,45.12,,3.5952,2.6304,,1275.25663
2021/7/31,830.727745,355.5823438,45.12,,3.5952,2.6304,,1237.655689
2021/8/1,831.1886295,359.3215642,45.12,,3.5952,2.6304,,1241.855794
2021/8/2,872.5101591,365.0213159,45.12,,3.5952,1.3152,,1287.561875
2021/8/3,873.5805352,364.9789946,45.12,,3.5952,,,1287.27473
2021/8/4,872.7595487,364.7638608,45.12,,3.5952,,,1286.238609
2021/8/5,870.1456835,366.1621511,45.12,,5.501183972,,,1286.929019
2021/8/6,876.4127043,365.0206783,45.12,,3.5952,,,1290.148583
2021/8/7,845.3754569,360.3220215,45.12,,3.5952,,,1254.412678
2021/8/8,852.011097,359.9202329,45.12,,3.5952,,,1260.64653
2021/8/9,894.6987272,364.8588741,45.12,,3.5952,,,1308.272801
2021/8/10,892.4762817,377.6382375,45.12,,3.5952,,,1318.829719
2021/8/11,905.8207355,368.1941418,45.12,,7.401894248,,,1326.536772
2021/8/12,912.213619,375.2161699,45.12,,10.872,,,1343.421789
2021/8/13,960.3438243,380.6522282,45.12,,10.872,,,1396.988053
2021/8/14,877.5651189,376.9506329,45.12,,10.872,,,1310.507752
2021/8/15,877.6227189,376.9506329,45.12,,10.872,,,1310.565352
2021/8/16,944.7111209,378.6674956,45.12,,10.872,,,1379.370616
2021/8/17,978.1438773,378.7049914,45.12,,10.872,,,1412.840869
2021/8/18,1022.819212,379.807578,45.12,,10.872,,,1458.61879
2021/8/19,1032.479005,379.756504,45.12,12.5952,10.872,,,1480.822709
2021/8/20,1040.056724,379.807578,45.12,36.9984,10.872,,,1512.854702
2021/8/21,988.5754022,376.102778,45.12,37.7856,10.872,,,1458.45578
2021/8/22,988.5608867,375.6941857,45.12,37.7856,10.872,,,1458.032672
2021/8/23,1040.878186,379.5414262,45.12,37.7856,10.872,,,1514.197213
2021/8/24,1026.878198,378.9903935,45.12,37.7856,10.872,,,1499.646192
2021/8/25,1021.565291,378.9865857,45.12,37.7856,10.872,,,1494.329476
2021/8/26,1015.121759,379.0621857,45.12,37.7856,10.872,,,1487.961545
2021/8/27,1009.425434,378.6535935,45.12,37.7856,10.872,,,1481.856628
2021/8/28,972.2941402,375.874378,45.12,37.7856,10.872,,,1441.946118
2021/8/29,972.2108547,376.6773044,45.12,37.7856,10.872,,,1442.665759
2021/8/30,1009.936295,380.3275555,45.12,37.7856,10.872,,,1484.04145
2021/8/31,999.4502441,376.9595555,45.12,37.7856,10.7974,,,1470.1128
2021/9/1,998.0902728,376.6290511,45.12,37.7856,10.872,,,1468.496924
2021/9/2,995.4586853,376.884562,45.12,37.7856,10.872,,,1466.120847
2021/9/3,982.6733938,376.9146445,45.12,37.7856,10.872,,,1453.365638
2021/9/4,968.4189771,378.5813592,45.12,37.7856,10.872,,,1440.777936
2021/9/5,968.7897886,378.2910911,45.12,37.7856,10.872,,,1440.85848
2021/9/6,983.2253136,378.753407,45.12,37.7856,10.872,,,1455.756321
2021/9/7,978.2012966,381.119031,45.12,37.7856,10.872,,,1453.097928
2021/9/8,998.947561,384.2845073,45.12,37.7856,10.872,,,1477.009668
2021/9/9,1003.21157,384.2845073,45.12,37.7856,10.872,,,1481.273677
2021/9/10,1008.279289,383.9153352,45.12,37.7856,10.872,,,1485.972224
2021/9/11,995.0379229,383.8475544,45.12,37.7856,10.872,,,1472.663077
2021/9/12,993.5952926,383.9153352,45.12,37.7856,10.872,,,1471.288228
2021/9/13,1015.436785,384.1266881,45.12,37.7856,10.872,,,1493.341073
2021/9/14,1016.309543,384.204133,45.12,37.7856,10.872,,,1494.291276
2021/9/15,1004.787495,384.182441,45.12,37.7856,10.872,,,1482.747536
2021/9/16,996.7555433,384.186041,45.12,37.7856,10.872,,,1474.719184
2021/9/17,997.055003,384.2845073,45.12,37.7856,10.872,,,1475.11711
2021/9/18,983.554054,384.0553073,45.12,37.7856,10.872,,,1461.386961
2021/9/19,983.1400589,384.2845073,45.12,37.7856,10.872,,,1461.202166
2021/9/20,983.5102937,384.2089073,45.12,37.7856,10.872,,,1461.496801
2021/9/21,983.107854,384.2845073,45.12,37.7856,10.872,,,1461.169961
2021/9/22,998.0744069,383.6504486,45.12,37.7856,10.872,,,1475.502456
2021/9/23,1000.330284,385.0866552,45.12,37.7856,10.872,,,1479.194539
2021/9/24,1031.629862,392.504967,45.12,37.7856,10.872,,,1517.912429
2021/9/25,1010.953663,396.4731287,45.12,37.7856,10.872,,,1501.204391
2021/9/26,1013.043925,396.495995,45.12,37.7856,10.872,,,1503.31752
2021/9/27,1029.436198,396.4727287,45.12,37.7856,10.872,,,1519.686527
2021/9/28,1074.511665,397.8394535,45.12,37.7856,10.872,,,1566.128719
2021/9/29,1117.751026,401.2841469,45.12,37.7856,13.3064,,0.108,1615.355173
2021/9/30,1133.404767,403.6557449,45.12,37.7856,12.5904,,,1632.556512
2021/10/1,1124.662355,403.4457394,45.12,37.7856,15.884,,,1626.897694
2021/10/2,1109.703446,403.7187246,45.12,37.7856,16.1018,,,1612.429571
2021/10/3,1109.209123,403.4078528,45.12,37.7856,16.0272,,,1611.549776
2021/10/4,1123.927761,412.8488516,45.12,37.7856,17.3876,,,1637.069812
2021/10/5,1124.214787,413.0016516,45.12,37.7856,17.7456,,,1637.867638
2021/10/6,1123.662464,413.3580516,45.12,37.7856,17.7456,,,1637.671716
2021/10/7,1123.665306,413.5562237,45.12,37.7856,16.5284,,,1636.655529
2021/10/8,1143.309721,413.2995118,45.12,37.7856,13.02,,,1652.534832
2021/10/9,1129.528548,412.9923606,45.12,37.7856,10.872,,,1636.298509
2021/10/10,1112.395219,413.0340484,45.12,37.7856,10.872,,,1619.206867
2021/10/11,1112.504822,412.9271223,45.12,37.7856,10.872,,,1619.209545
2021/10/12,1143.38563,413.4216628,45.12,37.7856,13.4496,,,1653.162493
2021/10/13,1158.867375,415.9422584,45.12,37.7856,14.3088,,,1672.024033
